trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.899}",25,0,-128.23557151192577,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.898}",25,8,-90.84782175916752,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 2}",1
3,False,"{'a': 0.3, 'e': 0.897}",35,0,-310.36154108468025,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 5}",0
4,False,"{'a': 0.3, 'e': 0.896}",20,0,-194.92989769018635,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.3, 'e': 0.895}",20,0,-66.14597268143193,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.894}",20,0,-115.75221626225945,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.893}",20,0,-201.8029915156407,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.3, 'e': 0.892}",25,0,-70.48623647716349,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.891}",20,0,-99.43511483362464,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.89}",20,0,-84.57087746793218,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.889}",20,0,-17.699325954474418,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.888}",25,0,-127.64726993144053,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.887}",25,0,-68.753225167813,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.886}",30,0,-201.09814278828304,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.885}",25,0,-50.12617758744078,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.3, 'e': 0.884}",25,0,-111.83115247625199,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.883}",25,5,-183.6679998640695,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",1
18,False,"{'a': 0.3, 'e': 0.882}",25,0,-151.18372099632572,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.881}",30,0,-114.16257549728628,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.88}",20,0,-25.110475686195116,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.3, 'e': 0.879}",20,0,-129.43175131852976,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.3, 'e': 0.878}",20,0,-32.31996292841444,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.3, 'e': 0.877}",20,0,-1.2056023855724913,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.3, 'e': 0.876}",20,0,-36.254783668724734,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.3, 'e': 0.875}",20,0,-69.70927461148143,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.874}",20,5,-58.63737851366123,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
27,False,"{'a': 0.3, 'e': 0.873}",30,18,6.880037164768449,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.3, 'e': 0.872}",20,0,-102.4786014562903,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
29,False,"{'a': 0.3, 'e': 0.871}",20,0,-58.89676668093725,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.3, 'e': 0.87}",20,0,-84.92204977634788,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.3, 'e': 0.869}",25,0,-141.15997670429087,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
32,False,"{'a': 0.3, 'e': 0.868}",20,0,-137.3534990247385,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
33,False,"{'a': 0.3, 'e': 0.867}",20,15,9.83481084523001,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.3, 'e': 0.866}",25,0,-66.68504225628641,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
